                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.21826,                0.86754,                0.96816,                 3.5724,               0.003466,               0.003466,               0.003466
                     68,                  0.218,                0.86811,                0.96646,                 3.5713,               0.003367,               0.003367,               0.003367
                     69,                0.19543,                0.86924,                0.96816,                 3.5716,               0.003268,               0.003268,               0.003268
                     70,                0.19233,                0.86811,                 0.9693,                 3.5715,               0.003169,               0.003169,               0.003169
                     71,                0.18997,                0.86697,                0.97101,                 3.5717,                0.00307,                0.00307,                0.00307
                     72,                0.17784,                0.86868,                0.96987,                 3.5712,               0.002971,               0.002971,               0.002971
                     73,                0.18483,                0.86981,                0.96873,                 3.5714,               0.002872,               0.002872,               0.002872
                     74,                0.16848,                0.87095,                0.97044,                 3.5706,               0.002773,               0.002773,               0.002773
                     75,                0.16094,                0.87265,                0.96816,                 3.5698,               0.002674,               0.002674,               0.002674
                     76,                0.17215,                0.87379,                0.96987,                 3.5689,               0.002575,               0.002575,               0.002575
                     77,                 0.1644,                0.87663,                0.97044,                 3.5683,               0.002476,               0.002476,               0.002476
                     78,                0.16392,                0.87607,                0.96987,                 3.5677,               0.002377,               0.002377,               0.002377
                     79,                0.14806,                 0.8772,                0.97101,                 3.5677,               0.002278,               0.002278,               0.002278
                     80,                0.14704,                0.87663,                 0.9693,                 3.5679,               0.002179,               0.002179,               0.002179
                     81,                0.15132,                0.87493,                 0.9693,                 3.5682,                0.00208,                0.00208,                0.00208
                     82,                0.14151,                0.87436,                 0.9693,                 3.5683,               0.001981,               0.001981,               0.001981
                     83,                0.14807,                0.87436,                0.97044,                 3.5684,               0.001882,               0.001882,               0.001882
                     84,                0.13287,                0.87493,                0.96987,                 3.5685,               0.001783,               0.001783,               0.001783
                     85,                0.13064,                0.87379,                0.97044,                 3.5683,               0.001684,               0.001684,               0.001684
